"","Albany, GA Metro Area","","Americus, GA Micro Area","","Athens-Clarke County, GA Metro Area","","Atlanta-Sandy Springs-Roswell, GA Metro Area","","Augusta-Richmond County, GA-SC Metro Area","","Bainbridge, GA Micro Area","","Brunswick, GA Metro Area","","Calhoun, GA Micro Area","","Cedartown, GA Micro Area","","Chattanooga, TN-GA Metro Area","","Columbus, GA-AL Metro Area","","Cordele, GA Micro Area","","Cornelia, GA Micro Area","","Dalton, GA Metro Area","","Douglas, GA Micro Area","","Dublin, GA Micro Area","","Eufaula, AL-GA Micro Area","","Fitzgerald, GA Micro Area","","Gainesville, GA Metro Area","","Hinesville, GA Metro Area","","Jefferson, GA Micro Area","","Jesup, GA Micro Area","","LaGrange, GA Micro Area","","Macon-Bibb County, GA Metro Area","","Milledgeville, GA Micro Area","","Moultrie, GA Micro Area","","Rome, GA Metro Area","","St. Marys, GA Micro Area","","Savannah, GA Metro Area","","Statesboro, GA Micro Area","","Summerville, GA Micro Area","","Thomaston, GA Micro Area","","Thomasville, GA Micro Area","","Tifton, GA Micro Area","","Toccoa, GA Micro Area","","Valdosta, GA Metro Area","","Vidalia, GA Micro Area","","Warner Robins, GA Metro Area","","Waycross, GA Micro Area","","United States","","Georgia",""
"        20 to 24 years","16","±19","27","±28","226","±83","3,892","±570","318","±109","0","±24","7","±11","0","±30","0","±27","185","±90","164","±107","0","±24","30","±49","36","±36","0","±27","0","±30","0","±21","0","±20","89","±77","550","±163","20","±29","0","±24","9","±18","97","±103","0","±30","0","±27","15","±25","43","±46","481","±152","48","±44","0","±24","0","±24","4","±8","0","±27","10","±13","242","±161","2","±4","0","±30","0","±30","287,662","±4,970","6,516","±684"
"        25 to 29 years","0","±30","0","±27","220","±95","5,184","±669","372","±152","0","±24","0","±30","0","±30","0","±27","249","±120","601","±277","0","±24","0","±27","30","±34","46","±68","18","±21","0","±21","0","±20","41","±44","215","±100","29","±34","0","±24","27","±31","65","±53","0","±30","0","±27","0","±30","22","±28","411","±166","9","±15","0","±24","0","±24","0","±27","16","±27","0","±24","236","±135","0","±27","202","±145","0","±30","279,722","±3,840","7,995","±814"
"        30 to 34 years","18","±28","0","±27","63","±42","4,195","±610","367","±199","0","±24","66","±75","0","±30","0","±27","187","±122","404","±176","0","±24","0","±27","7","±11","23","±35","15","±18","0","±21","0","±20","21","±35","386","±159","25","±34","0","±24","18","±28","31","±36","0","±30","10","±18","0","±30","14","±19","388","±193","6","±9","5","±7","0","±24","0","±27","51","±55","0","±24","240","±151","0","±27","90","±93","0","±30","219,460","±4,195","6,568","±707"
"        35 to 39 years","0","±30","0","±27","61","±55","3,028","±471","461","±254","0","±24","0","±30","48","±60","0","±27","48","±41","178","±90","0","±24","15","±25","13","±22","0","±27","7","±11","0","±21","0","±20","21","±34","125","±79","0","±30","21","±34","28","±39","54","±53","0","±30","30","±42","13","±20","49","±61","181","±115","0","±30","0","±24","0","±24","0","±27","16","±28","30","±48","45","±43","0","±27","116","±116","0","±30","154,528","±3,699","4,620","±606"
"        40 to 44 years","0","±30","0","±27","125","±89","2,358","±447","187","±165","0","±24","1","±3","0","±30","0","±27","54","±43","215","±131","0","±24","0","±27","40","±44","0","±27","17","±19","8","±12","0","±20","30","±32","62","±37","21","±24","0","±24","24","±32","12","±22","67","±44","0","±27","0","±30","30","±38","103","±83","32","±40","0","±24","0","±24","3","±5","0","±27","0","±24","7","±10","0","±27","4","±5","0","±30","120,946","±3,194","3,513","±547"
"        45 to 49 years","0","±30","3","±5","26","±22","1,490","±339","175","±80","0","±24","0","±30","0","±30","0","±27","38","±33","82","±57","0","±24","0","±27","26","±29","0","±27","3","±5","4","±6","0","±20","0","±30","16","±16","0","±30","18","±30","78","±67","75","±81","17","±24","0","±27","9","±15","0","±30","64","±38","0","±30","6","±9","0","±24","8","±11","0","±27","0","±24","0","±30","0","±27","5","±8","0","±30","94,203","±2,599","2,214","±397"
"        50 to 54 years","23","±23","22","±35","28","±39","1,885","±412","175","±100","0","±24","0","±30","11","±17","12","±20","36","±44","55","±35","1","±2","0","±27","0","±30","0","±27","18","±22","0","±21","0","±20","0","±30","7","±11","0","±30","34","±37","0","±30","27","±32","10","±16","16","±20","20","±21","15","±25","107","±88","5","±7","0","±24","0","±24","93","±106","0","±27","0","±24","14","±16","0","±27","93","±106","0","±30","82,749","±2,391","2,760","±493"
"        55 to 59 years","9","±14","0","±27","38","±54","1,599","±289","124","±77","0","±24","75","±57","69","±87","16","±25","72","±88","40","±33","0","±24","0","±27","0","±30","0","±27","0","±30","19","±31","22","±32","21","±25","27","±35","3","±6","8","±15","9","±16","52","±50","22","±35","0","±27","7","±11","10","±15","42","±39","0","±30","0","±24","0","±24","0","±27","0","±27","0","±24","3","±5","36","±52","0","±30","0","±30","77,839","±2,425","2,291","±348"
"        60 to 64 years","20","±23","0","±27","45","±48","1,799","±497","141","±111","0","±24","0","±30","0","±30","0","±27","73","±72","76","±63","0","±24","0","±27","0","±30","8","±14","0","±30","0","±21","6","±9","23","±33","9","±11","0","±30","0","±24","0","±30","24","±20","0","±30","12","±21","0","±30","0","±30","175","±132","0","±30","0","±24","0","±24","0","±27","41","±43","31","±51","174","±96","0","±27","0","±30","0","±30","77,666","±2,069","2,612","±514"
"        65 to 69 years","26","±35","0","±27","10","±10","1,010","±275","63","±84","18","±28","25","±41","0","±30","0","±27","37","±63","26","±39","0","±24","16","±28","0","±30","0","±27","0","±30","0","±21","0","±20","0","±30","10","±12","0","±30","0","±24","37","±52","21","±22","0","±30","14","±25","6","±11","0","±30","136","±104","0","±30","0","±24","0","±24","0","±27","41","±43","10","±15","0","±30","7","±11","55","±53","0","±30","66,120","±1,770","1,760","±337"
"        70 to 74 years","0","±30","0","±27","24","±25","910","±265","53","±70","0","±24","0","±30","0","±30","0","±27","17","±20","0","±27","40","±33","0","±27","8","±12","0","±27","0","±30","0","±21","0","±20","0","±30","0","±30","47","±49","0","±24","0","±30","0","±30","0","±30","0","±27","0","±30","0","±30","14","±23","0","±30","0","±24","0","±24","0","±27","0","±27","0","±24","0","±30","0","±27","0","±30","11","±18","45,031","±1,787","1,157","±294"
"        75 years and over","9","±16","2","±3","0","±30","860","±218","93","±61","0","±24","35","±48","0","±30","0","±27","55","±41","9","±11","0","±24","0","±27","21","±24","19","±30","9","±13","0","±21","0","±20","51","±43","8","±13","0","±30","0","±24","0","±30","16","±19","0","±30","15","±24","0","±30","0","±30","18","±26","0","±30","7","±10","0","±24","15","±25","0","±27","84","±111","13","±19","0","±27","129","±170","0","±30","64,878","±1,646","1,512","±332"
