"","Albany, GA Metro Area","","Americus, GA Micro Area","","Athens-Clarke County, GA Metro Area","","Atlanta-Sandy Springs-Roswell, GA Metro Area","","Augusta-Richmond County, GA-SC Metro Area","","Bainbridge, GA Micro Area","","Brunswick, GA Metro Area","","Calhoun, GA Micro Area","","Cedartown, GA Micro Area","","Chattanooga, TN-GA Metro Area","","Columbus, GA-AL Metro Area","","Cordele, GA Micro Area","","Cornelia, GA Micro Area","","Dalton, GA Metro Area","","Douglas, GA Micro Area","","Dublin, GA Micro Area","","Eufaula, AL-GA Micro Area","","Fitzgerald, GA Micro Area","","Gainesville, GA Metro Area","","Hinesville, GA Metro Area","","Jefferson, GA Micro Area","","Jesup, GA Micro Area","","LaGrange, GA Micro Area","","Macon-Bibb County, GA Metro Area","","Milledgeville, GA Micro Area","","Moultrie, GA Micro Area","","Rome, GA Metro Area","","St. Marys, GA Micro Area","","Savannah, GA Metro Area","","Statesboro, GA Micro Area","","Summerville, GA Micro Area","","Thomaston, GA Micro Area","","Thomasville, GA Micro Area","","Tifton, GA Micro Area","","Toccoa, GA Micro Area","","Valdosta, GA Metro Area","","Vidalia, GA Micro Area","","Warner Robins, GA Metro Area","","Waycross, GA Micro Area","","United States","","Georgia",""
"        18 and 19 years","3,027","±317","787","±138","4,018","±434","115,850","±1,661","12,083","±525","638","±199","1,775","±269","1,150","±153","994","±178","9,549","±529","4,815","±467","470","±169","916","±181","3,184","±169","1,038","±189","1,082","±105","461","±50","548","±166","4,009","±173","1,129","±251","1,204","±166","538","±136","1,552","±117","4,538","±370","1,122","±235","1,081","±192","2,216","±256","988","±236","6,344","±483","1,549","±384","425","±73","533","±144","764","±92","1,248","±224","571","±170","4,171","±402","746","±199","4,166","±344","987","±211","6,249,762","±9,410","207,176","±2,594"
"        20 to 24 years","7,829","±430","2,080","±333","16,036","±803","268,726","±3,269","30,363","±861","1,473","±217","4,990","±439","2,419","±297","1,841","±261","25,631","±704","14,510","±659","1,136","±178","2,550","±260","8,041","±326","2,847","±264","3,011","±203","1,402","±121","733","±175","9,378","±450","4,803","±516","2,649","±222","1,012","±265","3,767","±231","11,671","±549","3,926","±514","2,051","±318","4,532","±389","3,185","±327","18,329","±777","6,322","±672","1,313","±126","1,149","±201","1,591","±238","2,796","±307","1,642","±248","9,845","±733","1,737","±266","9,566","±617","2,148","±230","15,745,961","±17,225","505,266","±4,198"
"        25 to 29 years","7,635","±479","1,494","±190","10,731","±475","280,430","±2,844","32,115","±1,085","1,346","±104","5,189","±412","2,516","±300","2,426","±202","27,700","±857","15,490","±783","686","±145","2,171","±176","7,534","±528","2,342","±211","2,653","±206","1,548","±121","739","±126","9,415","±468","5,123","±437","3,304","±248","1,630","±198","3,042","±319","11,071","±533","2,388","±342","2,027","±299","4,325","±408","2,800","±333","20,082","±978","4,160","±336","1,474","±159","1,028","±160","1,876","±290","2,430","±155","860","±241","7,684","±514","1,595","±252","9,404","±637","2,706","±297","16,115,837","±19,789","505,300","±4,077"
"        30 to 34 years","7,379","±319","1,582","±236","10,595","±446","308,112","±2,038","32,289","±712","1,204","±113","4,757","±416","3,029","±160","2,082","±300","28,593","±637","15,813","±657","1,203","±299","2,287","±142","7,728","±432","2,545","±143","2,753","±222","1,631","±155","829","±138","9,871","±388","4,129","±394","3,414","±206","1,524","±251","3,446","±224","10,945","±520","2,691","±183","2,385","±193","4,454","±271","2,594","±255","20,514","±837","3,436","±237","1,109","±126","1,094","±167","2,125","±183","1,995","±199","1,132","±172","7,661","±352","2,086","±330","10,660","±497","2,746","±194","17,084,992","±24,809","535,794","±3,102"
"        35 to 39 years","7,284","±490","1,494","±250","10,223","±618","335,227","±4,250","30,003","±1,232","971","±216","4,602","±595","3,503","±462","1,962","±367","30,314","±1,028","15,411","±756","939","±235","2,527","±308","7,770","±576","2,450","±359","3,427","±369","1,509","±212","1,029","±236","10,971","±594","3,561","±375","3,746","±357","1,517","±293","3,322","±447","11,243","±586","2,441","±251","2,291","±324","4,182","±449","2,243","±279","19,111","±921","3,029","±337","1,397","±223","1,409","±236","1,926","±252","2,177","±354","830","±230","7,142","±431","1,750","±311","10,562","±812","3,059","±396","17,113,107","±33,429","562,171","±5,465"
"        40 to 44 years","8,134","±439","1,731","±284","10,660","±638","359,332","±4,027","30,693","±1,175","1,542","±215","6,227","±648","3,021","±426","2,452","±423","30,816","±977","15,306","±768","1,050","±231","2,395","±298","9,028","±575","2,688","±411","3,053","±325","1,446","±197","1,035","±203","11,028","±556","3,548","±425","4,877","±457","1,572","±223","3,470","±403","12,111","±620","2,189","±351","2,470","±330","5,597","±397","2,327","±341","20,062","±959","3,576","±321","1,536","±227","1,354","±222","2,216","±286","2,473","±383","1,495","±258","7,236","±533","1,807","±283","9,569","±746","3,150","±388","17,684,547","±32,906","600,033","±5,085"
"        45 to 49 years","8,316","±298","2,017","±157","10,204","±282","375,141","±1,633","32,541","±526","1,609","±92","6,523","±304","3,719","±239","2,480","±303","32,089","±507","16,027","±367","1,170","±119","2,578","±208","9,029","±241","2,625","±118","3,354","±163","1,663","±79","896","±125","12,171","±253","3,265","±298","4,294","±155","1,833","±143","4,014","±179","12,707","±387","2,650","±272","2,518","±172","5,201","±250","2,849","±218","19,092","±565","3,395","±138","1,575","±116","1,390","±186","2,306","±168","2,117","±130","1,636","±183","7,314","±329","1,988","±220","11,017","±288","3,241","±195","18,749,757","±19,790","624,739","±2,273"
"        50 to 54 years","9,049","±207","2,010","±132","10,121","±286","363,749","±2,136","36,776","±493","1,842","±68","7,033","±294","3,703","±256","2,263","±216","35,097","±472","17,213","±418","1,335","±101","2,656","±134","8,890","±248","2,729","±170","3,484","±158","1,790","±78","1,124","±70","11,176","±335","3,631","±278","4,252","±147","1,766","±135","4,248","±153","14,351","±361","3,250","±194","2,715","±152","5,802","±178","3,026","±184","20,496","±404","3,390","±153","1,512","±116","1,744","±80","2,848","±116","2,433","±168","1,537","±143","7,605","±277","2,068","±117","12,285","±462","3,376","±219","20,102,305","±17,805","632,369","±2,831"
"        55 to 59 years","8,733","±545","2,158","±272","9,881","±486","323,711","±2,886","36,007","±1,056","1,639","±227","7,845","±517","3,364","±362","2,349","±305","35,358","±1,057","18,001","±658","1,525","±225","2,435","±235","8,459","±526","2,506","±253","3,597","±269","1,796","±153","1,001","±139","10,154","±484","3,661","±300","3,699","±318","1,611","±228","4,448","±352","14,681","±629","3,463","±288","2,562","±280","5,850","±395","3,076","±273","20,305","±741","3,400","±404","1,654","±181","1,790","±220","2,961","±310","2,258","±242","1,848","±280","7,329","±433","2,046","±219","11,640","±761","3,502","±333","19,786,418","±24,997","589,816","±3,769"
"        60 to 64 years","9,199","±550","1,842","±260","9,755","±500","273,640","±2,717","35,476","±1,161","1,571","±221","7,144","±560","3,077","±329","2,245","±292","33,647","±1,061","14,890","±635","1,321","±219","2,614","±248","6,672","±509","2,205","±274","3,264","±262","1,751","±182","1,207","±141","9,516","±461","2,996","±280","3,423","±318","1,610","±209","3,513","±355","14,108","±677","3,228","±261","2,110","±277","5,151","±325","2,124","±258","18,112","±688","3,400","±397","1,477","±165","1,515","±232","2,656","±334","2,274","±264","1,262","±249","6,805","±401","1,956","±236","9,007","±724","3,028","±334","17,816,102","±22,457","518,603","±4,077"
