"","Albany, GA Metro Area","","Americus, GA Micro Area","","Athens-Clarke County, GA Metro Area","","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","","Augusta-Richmond County, GA-SC Metro Area","","Bainbridge, GA Micro Area","","Brunswick, GA Metro Area","","Calhoun, GA Micro Area","","Cedartown, GA Micro Area","","Chattanooga, TN-GA Metro Area","","Columbus, GA-AL Metro Area","","Cordele, GA Micro Area","","Cornelia, GA Micro Area","","Dalton, GA Metro Area","","Douglas, GA Micro Area","","Dublin, GA Micro Area","","Eufaula, AL-GA Micro Area","","Fitzgerald, GA Micro Area","","Gainesville, GA Metro Area","","Hinesville, GA Metro Area","","Jefferson, GA Micro Area","","Jesup, GA Micro Area","","LaGrange, GA-AL Micro Area","","Macon-Bibb County, GA Metro Area","","Milledgeville, GA Micro Area","","Moultrie, GA Micro Area","","Rome, GA Metro Area","","St. Marys, GA Micro Area","","Savannah, GA Metro Area","","Statesboro, GA Micro Area","","Summerville, GA Micro Area","","Thomaston, GA Micro Area","","Thomasville, GA Micro Area","","Tifton, GA Micro Area","","Toccoa, GA Micro Area","","Valdosta, GA Metro Area","","Vidalia, GA Micro Area","","Warner Robins, GA Metro Area","","Waycross, GA Micro Area","","United States","","Georgia",""
"        18 and 19 years","3,215","±265","829","±225","3,537","±345","124,593","±1,543","12,127","±601","676","±205","2,115","±250","1,288","±221","987","±174","9,561","±491","5,342","±544","789","±251","1,036","±180","3,329","±180","1,390","±210","1,392","±178","434","±55","528","±196","4,039","±184","1,612","±352","1,317","±233","591","±154","2,041","±162","4,985","±368","1,552","±303","943","±176","2,635","±211","1,253","±226","6,721","±634","1,135","±277","438","±87","521","±159","861","±97","1,401","±266","511","±83","4,422","±397","800","±187","3,774","±344","1,037","±219","6,312,351","±10,589","221,257","±2,582"
"        20 to 24 years","7,482","±540","2,293","±351","14,938","±893","280,604","±3,129","30,508","±1,019","1,375","±244","4,804","±396","2,944","±272","2,068","±283","24,621","±747","14,842","±723","1,018","±185","2,508","±169","7,984","±340","2,938","±307","3,318","±235","1,352","±112","922","±222","10,076","±496","4,102","±596","2,707","±281","1,149","±240","5,623","±366","11,136","±595","3,860","±484","2,067","±307","4,487","±337","3,342","±298","18,124","±822","5,738","±589","1,286","±134","1,204","±181","1,565","±224","2,641","±320","1,613","±133","11,587","±639","1,584","±282","8,723","±601","2,287","±269","15,602,439","±21,488","516,393","±4,206"
"        25 to 29 years","7,492","±423","1,524","±201","11,129","±487","300,678","±2,674","32,964","±994","1,204","±194","5,842","±335","2,688","±284","2,069","±258","28,638","±854","16,271","±654","919","±187","2,341","±148","8,589","±402","3,194","±227","3,295","±259","1,473","±137","539","±141","10,594","±376","5,525","±482","3,639","±301","1,532","±192","5,617","±314","11,530","±572","2,787","±277","2,101","±215","4,796","±333","2,906","±332","20,580","±884","4,317","±354","1,450","±165","1,107","±227","1,574","±260","2,190","±192","1,187","±235","8,647","±451","1,539","±284","8,948","±547","3,157","±320","16,771,570","±20,531","535,371","±3,387"
"        30 to 34 years","7,128","±471","1,527","±274","10,434","±474","316,132","±3,088","32,977","±828","1,053","±148","5,111","±387","3,067","±259","2,356","±283","29,190","±682","16,440","±681","898","±184","2,078","±129","8,083","±273","2,733","±174","2,815","±209","1,614","±150","876","±161","10,040","±380","4,280","±380","3,678","±239","1,466","±194","5,180","±288","10,485","±495","2,291","±154","2,274","±212","4,600","±274","2,956","±231","21,705","±842","3,681","±243","1,069","±108","945","±124","2,144","±155","2,070","±169","1,205","±226","7,978","±379","2,026","±342","10,341","±516","2,675","±233","17,428,219","±24,065","545,597","±3,870"
"        35 to 39 years","7,298","±571","1,421","±222","10,812","±709","346,708","±3,937","31,375","±1,093","1,131","±202","5,151","±574","3,513","±419","2,229","±355","30,177","±1,168","16,065","±893","1,261","±270","2,400","±275","8,438","±682","2,870","±373","3,712","±432","1,431","±178","901","±208","10,654","±758","3,641","±361","4,173","±411","1,403","±255","5,742","±403","11,636","±671","2,803","±267","2,679","±334","4,461","±454","2,716","±324","20,773","±1,097","3,661","±420","1,558","±238","1,164","±183","1,679","±328","2,215","±314","794","±180","7,251","±648","1,701","±321","9,974","±725","2,987","±338","17,765,275","±31,429","579,889","±5,366"
"        40 to 44 years","7,378","±572","1,867","±305","11,005","±699","352,759","±4,114","30,937","±1,401","1,368","±222","6,367","±547","2,687","±413","2,234","±352","30,849","±1,175","15,333","±819","972","±214","2,281","±306","8,375","±634","3,283","±356","3,510","±373","1,343","±176","974","±217","11,106","±655","3,385","±382","4,314","±373","1,821","±225","4,761","±406","11,624","±589","1,988","±344","2,214","±365","5,314","±442","2,262","±310","20,022","±1,057","3,120","±372","1,324","±219","1,476","±225","2,309","±326","2,565","±410","1,265","±201","7,276","±698","1,828","±317","9,267","±854","3,088","±340","17,413,544","±32,504","588,730","±5,166"
"        45 to 49 years","7,491","±342","1,999","±128","10,458","±382","381,464","±2,371","32,257","±651","1,544","±86","6,749","±323","3,989","±259","2,458","±254","32,015","±479","16,500","±397","1,076","±192","2,663","±236","9,208","±174","3,081","±221","3,510","±247","1,526","±99","930","±196","12,264","±262","2,978","±335","4,677","±256","2,019","±178","6,019","±231","12,517","±405","2,731","±240","2,364","±172","5,380","±232","2,483","±211","19,203","±543","3,384","±178","1,475","±117","1,469","±125","2,419","±150","2,162","±159","1,693","±136","6,968","±319","1,877","±163","10,024","±317","3,336","±216","18,570,664","±18,734","628,538","±2,781"
"        50 to 54 years","8,124","±276","1,800","±182","9,960","±280","367,916","±2,045","35,147","±574","1,618","±110","6,671","±307","3,748","±283","2,472","±214","33,637","±574","17,282","±398","1,408","±85","2,437","±146","9,158","±198","3,167","±166","3,865","±178","1,670","±83","1,135","±158","11,552","±351","3,171","±348","4,617","±296","1,647","±143","6,258","±230","13,457","±356","3,114","±187","2,686","±124","5,733","±190","2,701","±168","20,311","±535","3,257","±220","1,493","±106","1,705","±57","2,799","±133","2,205","±122","1,397","±128","7,723","±268","2,168","±149","11,283","±357","3,539","±257","19,393,598","±19,540","627,575","±2,689"
"        55 to 59 years","8,489","±522","1,979","±224","10,286","±598","341,272","±3,432","36,117","±1,027","1,836","±186","8,076","±544","3,304","±321","2,263","±278","33,823","±1,045","17,887","±682","1,435","±193","2,667","±306","8,406","±451","3,087","±323","4,263","±317","1,600","±179","1,178","±145","11,163","±568","3,846","±396","3,839","±345","1,727","±230","6,852","±505","14,367","±694","3,375","±326","2,574","±309","5,728","±400","3,217","±284","21,082","±1,000","3,273","±335","1,545","±210","1,740","±209","2,816","±323","2,608","±238","1,758","±231","7,194","±461","1,934","±218","11,590","±731","3,201","±368","19,895,029","±26,248","608,453","±4,529"
"        60 to 64 years","8,790","±577","2,056","±265","10,051","±681","290,710","±3,634","36,734","±1,052","1,392","±179","7,510","±517","3,318","±342","2,586","±261","35,481","±1,045","17,468","±762","1,364","±191","2,573","±282","7,278","±462","2,538","±313","3,450","±281","1,802","±190","1,063","±137","9,886","±517","3,233","±360","3,631","±330","1,733","±227","5,652","±424","14,397","±620","3,284","±323","2,030","±320","5,516","±374","2,530","±290","18,598","±810","3,342","±349","1,503","±199","1,730","±211","2,833","±296","2,050","±229","1,192","±243","7,249","±520","2,118","±250","9,089","±695","3,409","±325","18,623,905","±23,973","545,405","±4,887"
"        65 to 69 years","7,548","±439","1,754","±215","8,330","±437","239,560","±2,488","29,673","±928","1,146","±158","7,306","±506","2,573","±305","2,000","±261","29,826","±873","13,872","±575","1,198","±195","2,542","±250","6,449","±423","2,405","±273","3,454","±274","1,494","±139","971","±130","8,675","±444","2,356","±274","3,425","±324","1,385","±204","5,439","±351","11,949","±495","2,871","±263","2,128","±306","4,772","±377","2,255","±189","17,126","±834","2,656","±316","1,321","±135","1,551","±171","2,401","±244","1,763","±257","1,482","±264","5,784","±394","1,800","±211","7,454","±528","2,668","±303","15,757,851","±17,858","462,118","±3,462"
"        70 to 74 years","5,446","±387","1,540","±219","6,692","±404","173,301","±2,614","23,477","±904","1,157","±151","5,998","±473","2,071","±330","1,515","±232","23,803","±871","11,038","±531","1,125","±193","1,968","±257","4,959","±423","1,761","±266","2,758","±259","1,457","±146","590","±138","7,364","±440","1,896","±230","2,223","±275","1,373","±182","4,075","±361","8,469","±456","2,337","±252","1,691","±305","3,906","±372","1,732","±214","12,982","±790","2,108","±272","1,037","±143","1,055","±171","1,693","±234","1,460","±220","1,637","±257","4,546","±411","1,350","±201","5,551","±514","2,346","±285","11,947,652","±18,706","349,235","±3,523"
"        75 years and over","8,316","±192","2,088","±133","9,570","±286","236,053","±1,261","34,370","±497","1,728","±50","8,379","±304","3,136","±125","2,538","±93","38,568","±448","16,789","±282","1,635","±130","3,267","±132","7,678","±271","2,323","±162","4,546","±176","2,011","±91","1,024","±60","10,805","±242","2,256","±228","3,490","±139","1,696","±115","6,012","±173","14,219","±241","3,193","±100","2,640","±170","6,391","±166","2,278","±68","19,626","±313","3,086","±78","1,703","±103","1,799","±89","3,106","±72","2,286","±97","1,720","±86","7,229","±260","2,394","±139","8,742","±248","3,690","±121","19,747,209","±9,747","502,165","±1,720"
"    Moved within same county:","15,206","±1,709","4,036","±976","17,449","±1,515","391,543","±7,420","39,303","±2,795","1,857","±474","7,598","±1,252","4,129","±876","2,076","±534","39,065","±2,326","28,040","±2,037","1,534","±505","1,367","±393","5,948","±838","2,483","±455","3,979","±564","2,432","±530","675","±237","13,071","±1,487","7,837","±965","2,312","±524","2,057","±513","7,513","±1,127","16,638","±1,421","4,123","±767","4,178","±752","9,463","±1,133","3,613","±670","40,028","±2,581","11,070","±1,257","2,040","±585","2,295","±672","3,847","±744","1,684","±557","1,881","±533","10,348","±1,227","2,515","±742","14,687","±1,954","3,593","±758","25,736,976","±133,956","721,736","±10,860"
