"","Albany, GA Metro Area","","Americus, GA Micro Area","","Athens-Clarke County, GA Metro Area","","Atlanta-Sandy Springs-Roswell, GA Metro Area","","Augusta-Richmond County, GA-SC Metro Area","","Bainbridge, GA Micro Area","","Brunswick, GA Metro Area","","Calhoun, GA Micro Area","","Cedartown, GA Micro Area","","Chattanooga, TN-GA Metro Area","","Columbus, GA-AL Metro Area","","Cordele, GA Micro Area","","Cornelia, GA Micro Area","","Dalton, GA Metro Area","","Douglas, GA Micro Area","","Dublin, GA Micro Area","","Eufaula, AL-GA Micro Area","","Fitzgerald, GA Micro Area","","Gainesville, GA Metro Area","","Hinesville, GA Metro Area","","Jefferson, GA Micro Area","","Jesup, GA Micro Area","","LaGrange, GA Micro Area","","Macon-Bibb County, GA Metro Area","","Milledgeville, GA Micro Area","","Moultrie, GA Micro Area","","Rome, GA Metro Area","","St. Marys, GA Micro Area","","Savannah, GA Metro Area","","Statesboro, GA Micro Area","","Summerville, GA Micro Area","","Thomaston, GA Micro Area","","Thomasville, GA Micro Area","","Tifton, GA Micro Area","","Toccoa, GA Micro Area","","Valdosta, GA Metro Area","","Vidalia, GA Micro Area","","Warner Robins, GA Metro Area","","Waycross, GA Micro Area","","United States","","Georgia",""
"        18 and 19 years","3,200","±312","828","±191","3,686","±373","119,999","±1,719","11,696","±516","736","±195","2,020","±286","1,184","±177","965","±172","9,472","±447","4,997","±468","585","±198","1,027","±207","3,206","±168","960","±200","1,304","±193","452","±54","409","±135","4,089","±177","1,374","±280","1,278","±175","553","±148","1,540","±152","4,505","±378","1,319","±264","1,052","±200","2,318","±199","1,158","±252","6,263","±501","1,233","±278","475","±92","408","±139","826","±77","1,426","±241","641","±161","4,257","±395","761","±212","4,090","±251","1,066","±163","6,269,775","±10,519","213,533","±2,510"
"        20 to 24 years","7,920","±529","2,242","±318","15,280","±714","276,656","±3,173","30,499","±934","1,351","±200","4,818","±363","2,758","±267","1,907","±233","25,225","±884","14,258","±673","1,053","±193","2,633","±216","8,095","±392","2,785","±255","3,149","±271","1,336","±131","791","±178","10,157","±459","4,443","±563","2,753","±224","1,130","±220","3,642","±351","11,255","±557","3,466","±430","1,888","±273","4,655","±398","3,131","±351","17,965","±709","5,684","±600","1,271","±142","1,080","±221","1,615","±229","2,667","±273","1,607","±232","10,674","±626","1,620","±266","9,421","±746","2,217","±216","15,689,407","±21,236","511,730","±4,003"
"        25 to 29 years","7,706","±474","1,619","±201","11,211","±512","291,212","±3,038","32,719","±830","1,394","±130","5,437","±380","2,600","±283","2,359","±217","28,544","±831","15,619","±712","736","±153","1,995","±138","8,132","±420","2,515","±193","2,717","±181","1,494","±138","707","±183","9,889","±425","5,302","±533","3,375","±247","1,539","±218","3,367","±354","11,174","±614","2,504","±232","1,904","±229","4,539","±380","2,958","±411","19,922","±780","4,341","±298","1,385","±147","1,007","±202","1,761","±267","2,455","±141","1,145","±200","8,111","±515","1,798","±246","9,495","±688","2,935","±295","16,467,403","±19,545","521,185","±4,154"
"        30 to 34 years","7,477","±433","1,538","±293","10,241","±500","311,395","±2,602","32,381","±814","1,136","±147","4,798","±389","3,029","±235","2,058","±256","28,894","±726","15,893","±588","1,065","±242","2,118","±116","7,967","±289","2,463","±149","2,663","±223","1,594","±116","838","±152","10,110","±347","4,408","±376","3,591","±167","1,647","±272","3,590","±265","10,372","±472","2,407","±200","2,371","±200","4,561","±253","2,749","±268","21,089","±689","3,586","±240","1,056","±136","948","±158","2,081","±172","2,095","±147","1,212","±140","7,639","±436","2,025","±335","10,851","±428","2,722","±237","17,235,886","±22,800","539,457","±3,274"
"        35 to 39 years","7,630","±525","1,401","±251","10,162","±599","341,342","±3,677","31,068","±1,376","1,036","±235","5,041","±612","3,359","±370","2,082","±358","30,416","±1,042","15,331","±858","1,070","±281","2,528","±254","7,978","±595","2,165","±281","3,422","±316","1,535","±180","918","±192","11,034","±624","3,921","±428","3,958","±380","1,442","±232","3,595","±376","11,668","±592","2,729","±300","2,650","±313","4,089","±422","2,428","±302","19,498","±1,075","3,472","±464","1,587","±217","1,236","±246","1,911","±295","2,372","±338","822","±204","7,145","±508","1,642","±301","10,473","±805","3,470","±444","17,427,315","±34,388","571,718","±4,797"
"        40 to 44 years","7,519","±540","1,909","±283","10,785","±657","356,873","±3,994","30,748","±1,161","1,438","±231","6,212","±558","3,040","±425","2,421","±394","30,443","±1,063","14,949","±868","1,046","±259","2,292","±276","8,674","±594","2,796","±264","2,800","±299","1,301","±170","1,071","±218","10,995","±577","3,138","±358","4,665","±357","1,593","±269","3,241","±382","11,841","±573","2,278","±376","2,101","±300","5,470","±399","2,346","±307","19,990","±1,021","3,041","±426","1,253","±235","1,387","±229","2,304","±277","2,434","±315","1,299","±229","7,148","±657","2,025","±286","9,640","±705","3,015","±334","17,499,377","±36,673","593,699","±4,894"
"        45 to 49 years","7,967","±303","2,019","±136","10,389","±328","377,509","±1,907","32,031","±599","1,578","±80","6,446","±283","3,873","±256","2,364","±248","32,277","±540","16,050","±452","1,199","±151","2,584","±229","9,127","±266","2,679","±195","3,172","±204","1,528","±93","875","±180","12,307","±291","3,183","±305","4,558","±197","1,791","±179","3,932","±171","12,333","±432","2,378","±301","2,506","±163","5,373","±230","2,688","±236","19,075","±578","3,376","±197","1,544","±111","1,332","±161","2,443","±171","2,050","±173","1,728","±161","7,248","±293","1,872","±176","10,862","±391","3,333","±236","18,636,152","±18,574","625,305","±2,369"
"        50 to 54 years","8,538","±269","1,889","±184","10,305","±226","366,475","±1,907","35,805","±455","1,776","±76","7,007","±235","3,746","±313","2,470","±227","34,341","±469","16,980","±388","1,357","±87","2,473","±163","9,111","±224","2,705","±181","3,518","±120","1,730","±74","1,207","±151","11,311","±267","3,483","±302","4,423","±187","1,713","±123","4,143","±175","14,004","±308","3,217","±198","2,709","±132","5,849","±181","2,809","±202","20,205","±459","3,372","±190","1,475","±122","1,727","±74","2,828","±148","2,292","±96","1,454","±164","7,607","±221","2,036","±142","12,115","±317","3,487","±176","19,769,652","±18,943","630,710","±2,462"
"        55 to 59 years","8,829","±532","2,013","±236","10,120","±561","332,646","±3,293","35,430","±1,212","1,858","±214","8,026","±504","3,306","±360","2,430","±271","34,358","±1,036","17,312","±617","1,481","±231","2,408","±262","8,628","±533","2,308","±260","3,678","±258","1,663","±174","1,027","±141","10,545","±505","3,734","±357","3,777","±341","1,656","±209","4,346","±287","14,412","±623","3,409","±320","2,568","±265","5,652","±399","3,186","±292","20,851","±923","3,201","±317","1,643","±188","1,712","±212","2,860","±325","2,474","±303","1,818","±278","7,237","±446","2,013","±232","11,745","±745","3,269","±300","19,860,503","±25,500","598,385","±4,023"
"        60 to 64 years","9,134","±543","1,918","±211","10,009","±575","282,525","±3,454","36,006","±1,267","1,363","±218","7,316","±472","3,103","±306","2,423","±294","34,928","±1,003","15,869","±687","1,301","±201","2,716","±268","6,822","±533","2,424","±287","3,181","±274","1,847","±188","1,170","±143","9,801","±547","3,037","±326","3,425","±350","1,681","±198","3,627","±292","14,407","±605","3,208","±317","2,052","±267","5,487","±406","2,255","±251","18,487","±869","3,522","±305","1,486","±169","1,663","±213","2,745","±334","2,045","±283","1,212","±261","7,098","±469","1,858","±207","9,413","±626","3,190","±349","18,222,983","±20,872","532,579","±4,141"
"        65 to 69 years","7,593","±393","1,752","±210","8,143","±429","232,109","±2,640","29,394","±830","1,130","±173","7,053","±405","2,417","±237","2,057","±271","29,535","±833","12,842","±521","1,308","±192","2,482","±247","6,126","±327","1,972","±235","3,092","±215","1,541","±123","872","±148","8,305","±399","2,331","±276","3,104","±271","1,375","±164","3,142","±270","11,706","±526","2,726","±247","2,114","±250","4,529","±344","2,244","±232","16,251","±682","2,638","±284","1,323","±134","1,557","±170","2,513","±240","1,723","±216","1,459","±243","5,785","±423","1,836","±227","7,778","±492","2,716","±236","15,361,621","±18,571","449,744","±3,555"
"        70 to 74 years","5,300","±336","1,494","±197","6,286","±410","163,060","±2,252","21,713","±934","1,199","±144","5,450","±411","2,246","±277","1,384","±234","22,569","±840","9,848","±478","869","±169","2,065","±248","5,062","±374","1,497","±218","2,127","±235","1,359","±138","649","±137","7,188","±394","1,727","±284","2,309","±235","1,287","±159","2,405","±245","8,145","±451","2,314","±248","1,657","±244","3,839","±335","1,557","±222","12,625","±641","2,103","±282","1,043","±130","1,039","±171","1,668","±210","1,544","±193","1,475","±260","4,312","±394","1,412","±185","5,807","±440","2,126","±233","11,402,026","±18,814","331,659","±3,386"
"        75 years and over","8,443","±210","2,113","±158","9,076","±267","224,210","±1,258","33,080","±369","1,726","±49","7,994","±285","2,977","±129","2,377","±122","37,597","±436","15,438","±330","1,565","±106","3,101","±125","7,436","±252","1,910","±129","3,915","±105","2,002","±97","1,012","±50","10,290","±222","2,163","±253","3,420","±146","1,649","±50","3,669","±130","13,689","±221","3,160","±91","2,527","±139","6,279","±143","2,099","±62","18,697","±303","2,932","±72","1,635","±92","1,817","±55","3,028","±79","2,236","±91","1,668","±86","6,869","±251","2,307","±146","9,407","±275","3,626","±122","19,236,849","±8,166","481,681","±1,551"
"    Moved within same county:","14,776","±1,233","4,231","±920","17,691","±1,439","397,521","±7,836","41,071","±2,521","2,277","±534","8,720","±986","3,736","±647","2,611","±695","40,035","±2,401","29,168","±1,929","2,176","±590","1,365","±345","6,977","±970","2,073","±522","4,378","±631","2,665","±551","1,067","±361","13,134","±1,503","8,562","±1,051","2,019","±470","2,467","±608","6,641","±1,036","18,489","±1,683","4,557","±730","4,799","±879","10,002","±1,378","4,310","±822","42,776","±2,647","10,514","±1,230","2,111","±618","3,355","±721","4,143","±815","1,944","±550","1,297","±404","11,997","±1,203","2,821","±865","14,637","±1,886","3,149","±659","26,270,869","±142,742","743,676","±10,707"
"        1 to 4 years","1,387","±320","250","±136","778","±208","27,241","±1,498","3,328","±431","183","±108","563","±233","391","±211","219","±138","2,654","±414","2,745","±465","352","±187","86","±56","482","±173","128","±134","543","±186","325","±112","78","±78","1,026","±289","938","±275","82","±59","9","±14","387","±277","1,366","±362","239","±137","371","±185","597","±204","389","±167","2,873","±405","581","±217","238","±120","437","±240","460","±214","29","±24","59","±53","872","±269","418","±201","1,088","±317","304","±138","1,917,607","±20,142","54,383","±2,309"
